STRING,syllable1a_p,syllable1a_g,syllable1a_pg,syllable1b_p,syllable1b_g,syllable1b_pg,syllable1c_p,syllable1c_g,syllable1c_pg,syllable1d_p,syllable1d_g,syllable1d_pg,syllable1e_p,syllable1e_g,syllable1e_pg,syllable1f_p,syllable1f_g,syllable1f_pg,syllable2a_p,syllable2a_g,syllable2a_pg,syllable2b_p,syllable2b_g,syllable2b_pg,syllable2c_p,syllable2c_g,syllable2c_pg,syllable2d_p,syllable2d_g,syllable2d_pg,syllable2e_p,syllable2e_g,syllable2e_pg,syllable2f_p,syllable2f_g,syllable2f_pg,syllable3a_p,syllable3a_g,syllable3a_pg,syllable3b_p,syllable3b_g,syllable3b_pg,syllable3c_p,syllable3c_g,syllable3c_pg,syllable3d_p,syllable3d_g,syllable3d_pg,syllable3e_p,syllable3e_g,syllable3e_pg,syllable3f_p,syllable3f_g,syllable3f_pg,syllable4a_p,syllable4a_g,syllable4a_pg,syllable4b_p,syllable4b_g,syllable4b_pg,syllable4c_p,syllable4c_g,syllable4c_pg,syllable4d_p,syllable4d_g,syllable4d_pg,syllable4e_p,syllable4e_g,syllable4e_pg,syllable4f_p,syllable4f_g,syllable4f_pg,syllable5a_p,syllable5a_g,syllable5a_pg,syllable5b_p,syllable5b_g,syllable5b_pg,syllable5c_p,syllable5c_g,syllable5c_pg,syllable5d_p,syllable5d_g,syllable5d_pg,syllable5e_p,syllable5e_g,syllable5e_pg,syllable5f_p,syllable5f_g,syllable5f_pg,syllable6a_p,syllable6a_g,syllable6a_pg,syllable6b_p,syllable6b_g,syllable6b_pg,syllable6c_p,syllable6c_g,syllable6c_pg,syllable6d_p,syllable6d_g,syllable6d_pg,syllable6e_p,syllable6e_g,syllable6e_pg,syllable6f_p,syllable6f_g,syllable6f_pg
gilt,g,g,g+g,ɪ,i,ɪ+i,l,l,l+l,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gimme,g,g,g+g,ɪ,i,ɪ+i,,,,,,,,,,,,,m,mm,m+mm,i,e,i+e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gin,dʒ,g,dʒ+g,ɪ,i,ɪ+i,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ginger,dʒ,g,dʒ+g,ɪ,i,ɪ+i,n,n,n+n,,,,,,,,,,dʒ,g,dʒ+g,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gingerbread,dʒ,g,dʒ+g,ɪ,i,ɪ+i,n,n,n+n,,,,,,,,,,dʒ,g,dʒ+g,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,b,b,b+b,r,r,r+r,ɛ,ea,ɛ+ea,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gingham,g,g,g+g,ɪ,i,ɪ+i,ŋ,ng,ŋ+ng,,,,,,,,,,ə,ha,ə+ha,m,m,m+m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giraffe,dʒ,g,dʒ+g,ɚ,i,ɚ+i,r,r,r+r,,,,,,,,,,æ,a,æ+a_e,f,ff,f+ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gird,g,g,g+g,ɚ,i,ɚ+i,r,r,r+r,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
girder,g,g,g+g,ɚ,i,ɚ+i,r,r,r+r,,,,,,,,,,d,d,d+d,ə,e,ə+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
girl,g,g,g+g,ɚ,i,ɚ+i,r,r,r+r,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
girlfriend,g,g,g+g,ɚ,i,ɚ+i,r,r,r+r,l,l,l+l,,,,,,,f,f,f+f,r,r,r+r,ɛ,ie,ɛ+ie,n,n,n+n,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
girls,g,g,g+g,ɚ,i,ɚ+i,r,r,r+r,l,l,l+l,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
girly,g,g,g+g,ɚ,i,ɚ+i,r,r,r+r,,,,,,,,,,l,l,l+l,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
girth,g,g,g+g,ɚ,i,ɚ+i,r,r,r+r,θ,th,θ+th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gist,dʒ,g,dʒ+g,ɪ,i,ɪ+i,s,s,s+s,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
git,g,g,g+g,ɪ,i,ɪ+i,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
give,g,g,g+g,ɪ,i,ɪ+i_e,v,v,v+v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
given,g,g,g+g,ɪ,i,ɪ+i,,,,,,,,,,,,,v,v,v+v,ɪ,e,ɪ+e,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
given,g,g,g+g,ɪ,i,ɪ+i,,,,,,,,,,,,,v,v,v+v,ə,e,ə+e,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giver,g,g,g+g,ɪ,i,ɪ+i,,,,,,,,,,,,,v,v,v+v,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gives,g,g,g+g,ɪ,i,ɪ+i,v,v,v+v,z,es,z+es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giving,g,g,g+g,ɪ,i,ɪ+i,,,,,,,,,,,,,v,v,v+v,ɪ,i,ɪ+i,ŋ,ng,ŋ+ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glacier,g,g,g+g,l,l,l+l,eɪ,a,eɪ+a,,,,,,,,,,ʃ,ci,ʃ+ci,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glad,g,g,g+g,l,l,l+l,æ,a,æ+a,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glade,g,g,g+g,l,l,l+l,eɪ,a,eɪ+a_e,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gladly,g,g,g+g,l,l,l+l,æ,a,æ+a,d,d,d+d,,,,,,,l,l,l+l,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glance,g,g,g+g,l,l,l+l,æ,a,æ+a_e,n,n,n+n,s,c,s+c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gland,g,g,g+g,l,l,l+l,æ,a,æ+a,n,n,n+n,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glare,g,g,g+g,l,l,l+l,ɛ,a,ɛ+a_e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glass,g,g,g+g,l,l,l+l,æ,a,æ+a,s,ss,s+ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glasses,g,g,g+g,l,l,l+l,æ,a,æ+a,,,,,,,,,,s,ss,s+ss,ɪ,e,ɪ+e,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glassy,g,g,g+g,l,l,l+l,æ,a,æ+a,,,,,,,,,,s,ss,s+ss,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glaze,g,g,g+g,l,l,l+l,eɪ,a,eɪ+a_e,z,z,z+z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glazed,g,g,g+g,l,l,l+l,eɪ,a,eɪ+a,z,z,z+z,d,ed,d+ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gleam,g,g,g+g,l,l,l+l,i,ea,i+ea,m,m,m+m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glean,g,g,g+g,l,l,l+l,i,ea,i+ea,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glee,g,g,g+g,l,l,l+l,i,ee,i+ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glen,g,g,g+g,l,l,l+l,ɛ,e,ɛ+e,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glib,g,g,g+g,l,l,l+l,ɪ,i,ɪ+i,b,b,b+b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glide,g,g,g+g,l,l,l+l,aɪ,i,aɪ+i_e,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glimpse,g,g,g+g,l,l,l+l,ɪ,i,ɪ+i_e,m,m,m+m,p,p,p+p,s,s,s+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glint,g,g,g+g,l,l,l+l,ɪ,i,ɪ+i,n,n,n+n,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glisten,g,g,g+g,l,l,l+l,ɪ,i,ɪ+i,,,,,,,,,,s,st,s+st,ə,e,ə+e,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glitch,g,g,g+g,l,l,l+l,ɪ,i,ɪ+i,tʃ,tch,tʃ+tch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glitter,g,g,g+g,l,l,l+l,ɪ,i,ɪ+i,,,,,,,,,,t,tt,t+tt,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glittering,g,g,g+g,l,l,l+l,ɪ,i,ɪ+i,,,,,,,,,,t,tt,t+tt,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,ɪ,i,ɪ+i,ŋ,ng,ŋ+ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glittery,g,g,g+g,l,l,l+l,ɪ,i,ɪ+i,,,,,,,,,,t,tt,t+tt,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloat,g,g,g+g,l,l,l+l,oʊ,oa,oʊ+oa,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glob,g,g,g+g,l,l,l+l,ɑ,o,ɑ+o,b,b,b+b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global,g,g,g+g,l,l,l+l,oʊ,o,oʊ+o,,,,,,,,,,b,b,b+b,ə,a,ə+a,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
globe,g,g,g+g,l,l,l+l,oʊ,o,oʊ+o_e,b,b,b+b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloom,g,g,g+g,l,l,l+l,u,oo,u+oo,m,m,m+m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloomy,g,g,g+g,l,l,l+l,u,oo,u+oo,,,,,,,,,,m,m,m+m,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glory,g,g,g+g,l,l,l+l,ɔ,o,ɔ+o,,,,,,,,,,r,r,r+r,i,y,i+y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloss,g,g,g+g,l,l,l+l,ɔ,o,ɔ+o,s,ss,s+ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glove,g,g,g+g,l,l,l+l,ʌ,o,ʌ+o_e,v,v,v+v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloved,g,g,g+g,l,l,l+l,ʌ,o,ʌ+o,v,v,v+v,d,ed,d+ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloves,g,g,g+g,l,l,l+l,ʌ,o,ʌ+o,v,v,v+v,z,es,z+es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glow,g,g,g+g,l,l,l+l,oʊ,ow,oʊ+ow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glue,g,g,g+g,l,l,l+l,u,ue,u+ue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glued,g,g,g+g,l,l,l+l,u,ue,u+ue,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glum,g,g,g+g,l,l,l+l,ʌ,u,ʌ+u,m,m,m+m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glycerin,g,g,g+g,l,l,l+l,ɪ,y,ɪ+y,,,,,,,,,,s,c,s+c,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,ə,i,ə+i,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnat,n,gn,n+gn,æ,a,æ+a,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnaw,n,gn,n+gn,ɔ,aw,ɔ+aw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnome,n,gn,n+gn,oʊ,o,oʊ+o_e,m,m,m+m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go,g,g,g+g,oʊ,o,oʊ+o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goad,g,g,g+g,oʊ,oa,oʊ+oa,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goal,g,g,g+g,oʊ,oa,oʊ+oa,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goalie,g,g,g+g,oʊ,oa,oʊ+oa,,,,,,,,,,,,,l,l,l+l,i,ie,i+ie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goals,g,g,g+g,oʊ,oa,oʊ+oa,l,l,l+l,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goat,g,g,g+g,oʊ,oa,oʊ+oa,t,t,t+t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gob,g,g,g+g,ɑ,o,ɑ+o,b,b,b+b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gobble,g,g,g+g,ɑ,o,ɑ+o,,,,,,,,,,,,,b,bb,b+bb,ə,,ə+_,l,l,l+l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goblin,g,g,g+g,ɑ,o,ɑ+o,,,,,,,,,,,,,b,b,b+b,l,l,l+l,ɪ,i,ɪ+i,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
god,g,g,g+g,ɑ,o,ɑ+o,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goddamn,g,g,g+g,ɑ,o,ɑ+o,,,,,,,,,,,,,d,dd,d+dd,æ,a,æ+a,m,mn,m+mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goddamned,g,g,g+g,ɑ,o,ɑ+o,,,,,,,,,,,,,d,dd,d+dd,æ,a,æ+a,m,mn,m+mn,d,ed,d+ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
godfather,g,g,g+g,ɑ,o,ɑ+o,d,d,d+d,,,,,,,,,,f,f,f+f,ɑ,a,ɑ+a,,,,,,,,,,,,,ð,th,ð+th,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
godlike,g,g,g+g,ɑ,o,ɑ+o,d,d,d+d,,,,,,,,,,l,l,l+l,aɪ,i,aɪ+i_e,k,k,k+k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
godmother,g,g,g+g,ɑ,o,ɑ+o,d,d,d+d,,,,,,,,,,m,m,m+m,ʌ,o,ʌ+o,,,,,,,,,,,,,ð,th,ð+th,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gods,g,g,g+g,ɑ,o,ɑ+o,d,d,d+d,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goes,g,g,g+g,oʊ,oe,oʊ+oe,z,s,z+s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goggles,g,g,g+g,ɑ,o,ɑ+o,,,,,,,,,,,,,g,gg,g+gg,ə,,ə+_,l,l,l+l,z,es,z+es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
going,g,g,g+g,oʊ,o,oʊ+o,,,,,,,,,,,,,ɪ,i,ɪ+i,ŋ,ng,ŋ+ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gold,g,g,g+g,oʊ,o,oʊ+o,l,l,l+l,d,d,d+d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golden,g,g,g+g,oʊ,o,oʊ+o,l,l,l+l,,,,,,,,,,d,d,d+d,ə,e,ə+e,n,n,n+n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goldfish,g,g,g+g,oʊ,o,oʊ+o,l,l,l+l,d,d,d+d,,,,,,,f,f,f+f,ɪ,i,ɪ+i,ʃ,sh,ʃ+sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golf,g,g,g+g,ɑ,o,ɑ+o,l,l,l+l,f,f,f+f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
golfer,g,g,g+g,ɑ,o,ɑ+o,l,l,l+l,,,,,,,,,,f,f,f+f,ɚ,e,ɚ+e,r,r,r+r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
